feature,importance
New_Sales_lag_12_backshift_12,107
month_cos,95
Budget_USD_ewm_3,89
New_Sales_ewm_3_backshift_12,62
New_Sales_lag_6_backshift_12,58
month_sin,55
Budget_USD,44
New_Sales_ewm_6_backshift_12,36
New_Sales_mean_this_year_ewm_6_backshift_12,33
Budget_USD_ewm_6,32
Close_gold_backshift_12,32
Budget_USD_ewm_12,31
quarter_cos,29
New_Sales_ewm_12_backshift_12,28
New_Sales_std_this_year_ewm_12_backshift_12,25
retail_sales_apparel_ewm_12_backshift_12,24
pce_apparel_ewm_3_backshift_12,21
cpi_u_lag_6_backshift_12,20
Budget_USD_mean_this_quarter_ewm_12,19
Close_gold_lag_6_backshift_12,19
Budget_USD_std_this_quarter_ewm_12,17
gdp_ewm_3_backshift_12,17
Budget_USD_mean_this_year_ewm_12,17
New_Sales_std_this_year_ewm_6_backshift_12,15
New_Sales_mean_this_year_ewm_3_backshift_12,15
Budget_USD_mean_this_quarter_ewm_6,15
Budget_USD_std_this_year_ewm_3,14
Budget_USD_lag_12,14
Budget_USD_std_this_quarter_ewm_6,14
pce_apparel_ewm_6_backshift_12,14
Budget_USD_std_this_year_ewm_12,14
Close_gold_ewm_12_backshift_12,13
Budget_USD_mean_this_year_ewm_6,12
New_Sales_std_this_year_lag_3_backshift_12,10
cpi_u_lag_3_backshift_12,9
Budget_USD_mean_this_quarter_lag_12,9
Budget_USD_std_this_quarter_lag_6,9
Promo_Type_Discount,8
Close_gold_ewm_6_backshift_12,8
Budget_USD_std_this_year_ewm_6,8
New_Sales_mean_this_year_backshift_12,8
Budget_USD_mean_this_quarter_lag_3,7
pce_apparel_backshift_12,7
gdp_backshift_12,7
New_Sales_mean_this_year_lag_6_backshift_12,7
Budget_USD_std_this_year_lag_6,6
Budget_USD_mean_this_year_lag_12,5
Budget_USD_lag_6,5
Budget_USD_mean_this_year_lag_3,5
Budget_USD_mean_this_year,4
New_Sales_mean_this_year_lag_12_backshift_12,4
quarter_sin,4
Month_2,3
Year,3
cpi_u_ewm_3_backshift_12,3
cpi_u_backshift_12,3
Budget_USD_lag_3,3
Month_8,2
Budget_USD_std_this_year_lag_12,2
pce_apparel_lag_3_backshift_12,2
Budget_USD_std_this_year,1
Month_11,1
Promo_Type_Cashback,0
Month_10,0
Promo_Type_No_Promo,0
Month_4,0
Month_3,0
New_Sales_mean_this_year_lag_3_backshift_12,0
Month_12,0
Month_9,0
Month_7,0
Quarter_2,0
Quarter_3,0
Month_5,0
cpi_u_ewm_12_backshift_12,0
cpi_u_ewm_6_backshift_12,0
Month_6,0
Quarter_4,0
budget_to_sales_backshift_12,0
Budget_USD_std_this_year_lag_3,0
