,retail_sales_apparel,inv_sales_ratio_apparel,pce_apparel,real_pce_apparel,cotton_price,raw_cotton_ppi
1995-01-01,10601.0,2.7,244.705,,94.7750015258789,144.4
1995-02-01,10320.0,2.78,244.705,,99.9625015258789,150.2
1995-03-01,10558.0,2.74,244.705,,110.474998474121,181.4
1995-04-01,10476.0,2.79,244.705,,113.224998474121,176.2
1995-05-01,10646.0,2.75,244.705,,115.849998474121,166.4
1995-06-01,10654.0,2.72,244.705,,104.357498168945,179.9
1995-07-01,10527.0,2.72,244.705,,95.9770736694336,164.4
1995-08-01,10483.0,2.77,244.705,,84.6500015258789,139.7
1995-09-01,10902.0,2.65,244.705,,91.0999984741211,148.3
1995-10-01,10541.0,2.74,244.705,,91.5250015258789,143.4
1995-11-01,10980.0,2.65,244.705,,89.2874984741211,140.8
1995-12-01,10839.0,2.61,244.705,,88.4250030517578,138.9
1996-01-01,10790.0,2.62,253.501,,85.9124984741211,137.0
1996-02-01,11045.0,2.56,253.501,,86.7874984741211,136.0
1996-03-01,11035.0,2.56,253.501,,83.2300033569336,133.0
1996-04-01,11056.0,2.52,253.501,,83.0,143.5
1996-05-01,11213.0,2.47,253.501,,82.8899993896484,138.2
1996-06-01,10980.0,2.53,253.501,,83.125,136.5
1996-07-01,10990.0,2.55,253.501,,79.8375015258789,128.8
1996-08-01,11077.0,2.54,253.501,,76.7099990844727,128.9
1996-09-01,11238.0,2.49,253.501,,75.3600006103516,123.2
1996-10-01,11206.0,2.54,253.501,,75.4250030517578,120.3
1996-11-01,11036.0,2.63,253.501,,75.9059982299805,113.3
1996-12-01,11081.0,2.59,253.501,,78.2925033569336,120.8
1997-01-01,11243.0,2.55,262.012,,79.7699966430664,116.6
1997-02-01,11164.0,2.59,262.012,,80.4000015258789,116.7
1997-03-01,11380.0,2.49,262.012,,80.625,122.5
1997-04-01,10715.0,2.71,262.012,,78.8249969482422,114.7
1997-05-01,11088.0,2.64,262.012,,79.2600021362305,115.5
1997-06-01,11310.0,2.58,262.012,,80.5124969482422,116.8
1997-07-01,11365.0,2.58,262.012,,81.1750030517578,119.4
1997-08-01,11527.0,2.53,262.012,,81.2099990844727,120.5
1997-09-01,11507.0,2.58,262.012,,79.6374969482422,117.6
1997-10-01,11628.0,2.55,262.012,,77.75,116.0
1997-11-01,11594.0,2.56,262.012,,77.2249984741211,114.6
1997-12-01,11789.0,2.55,262.012,,74.3539962768555,107.3
1998-01-01,11823.0,2.55,273.082,,72.1374969482422,103.3
1998-02-01,11884.0,2.53,273.082,,68.8375015258789,108.0
1998-03-01,11739.0,2.6,273.082,,68.4250030517578,110.1
1998-04-01,12136.0,2.53,273.082,,65.6999969482422,101.2
1998-05-01,11953.0,2.57,273.082,,64.3600006103516,108.0
1998-06-01,12069.0,2.57,273.082,,68.9380035400391,118.7
1998-07-01,12289.0,2.54,273.082,,69.8639984130859,121.8
1998-08-01,12160.0,2.58,273.082,,68.1750030517578,116.6
1998-09-01,11847.0,2.67,273.082,,66.3874969482422,119.4
1998-10-01,12242.0,2.56,273.082,,61.4599990844727,114.0
1998-11-01,12443.0,2.52,273.082,,56.0800018310547,112.3
1998-12-01,12375.0,2.54,273.082,,56.0,98.7
1999-01-01,12565.0,2.53,287.19,,55.7750015258789,94.4
1999-02-01,12613.0,2.55,287.19,,56.1875,91.7
1999-03-01,12757.0,2.51,287.19,,56.706,97.4
