,gdp,cpi_u,oil,usd_index,sp500,umich_sentiment,fed_funds_rate,unemployment_rate,industrial_prod
1995-01-01,11319.951,150.5,18.039523809523807,,,97.6,5.53,5.6,71.2635
1995-02-01,11319.951,150.9,18.57,,,95.1,5.92,5.4,71.1758
1995-03-01,11319.951,151.2,18.539130434782606,,,90.3,5.98,5.4,71.2796
1995-04-01,11353.721,151.8,19.896315789473682,,,92.5,6.05,5.8,71.1538
1995-05-01,11353.721,152.1,19.741818181818182,,,89.8,6.01,5.6,71.4997
1995-06-01,11353.721,152.4,18.44590909090909,,,92.7,6.0,5.6,71.7327
1995-07-01,11450.31,152.6,17.325499999999998,,,94.4,5.85,5.7,71.4334
1995-08-01,11450.31,152.9,18.020869565217392,,,96.2,5.74,5.7,72.3723
1995-09-01,11450.31,153.1,18.2255,,,88.9,5.8,5.6,72.6543
1995-10-01,11528.067,153.5,17.43318181818182,,,90.2,5.76,5.5,72.5336
1995-11-01,11528.067,153.7,17.9925,,,88.2,5.8,5.6,72.717
1995-12-01,11528.067,153.9,19.026500000000002,,,91.0,5.6,5.6,72.9638
1996-01-01,11614.418,154.7,18.854545454545455,,,89.3,5.56,5.6,72.5712
1996-02-01,11614.418,155.0,19.0935,,,88.5,5.22,5.5,73.6207
1996-03-01,11614.418,155.5,21.33238095238095,,,93.7,5.31,5.5,73.5141
1996-04-01,11808.14,156.1,23.497142857142858,,,92.7,5.22,5.6,74.2491
1996-05-01,11808.14,156.4,21.165454545454544,,,89.4,5.24,5.6,74.8142
1996-06-01,11808.14,156.7,20.4235,,,92.4,5.27,5.3,75.3726
1996-07-01,11914.063,157.0,21.302272727272726,,,94.7,5.4,5.5,75.3738
1996-08-01,11914.063,157.2,21.903181818181817,,,95.3,5.22,5.1,75.7557
1996-09-01,11914.063,157.7,23.9715,,,94.7,5.3,5.2,76.2302
1996-10-01,12037.775,158.2,24.87913043478261,,,96.5,5.24,5.2,76.2157
1996-11-01,12037.775,158.7,23.705000000000002,,,99.2,5.31,5.4,76.8973
1996-12-01,12037.775,159.1,25.228571428571428,,,96.9,5.29,5.4,77.3772
1997-01-01,12115.472,159.4,25.13181818181818,,,97.4,5.25,5.3,77.5135
1997-02-01,12115.472,159.7,22.176315789473687,,,99.7,5.19,5.2,78.4255
1997-03-01,12115.472,159.8,20.965,,,100.0,5.39,5.2,78.9197
1997-04-01,12317.221,159.9,19.695454545454545,,,101.4,5.51,5.1,78.9848
1997-05-01,12317.221,159.9,20.81904761904762,,,103.2,5.5,4.9,79.4296
1997-06-01,12317.221,160.2,19.26,,,104.5,5.56,5.0,79.7971
1997-07-01,12471.01,160.4,19.663636363636364,,,107.1,5.52,4.9,80.4666
1997-08-01,12471.01,160.8,19.95285714285714,,,104.4,5.54,4.8,81.2825
1997-09-01,12471.01,161.2,19.803333333333335,,,106.0,5.54,4.9,82.0327
1997-10-01,12577.495,161.5,21.32521739130435,,,105.6,5.5,4.7,82.7656
1997-11-01,12577.495,161.7,20.19388888888889,,,107.2,5.52,4.6,83.427
1997-12-01,12577.495,161.8,18.332727272727272,,,102.1,5.5,4.7,83.784
1998-01-01,12703.742,162.0,16.724,,,106.6,5.56,4.6,84.1564
1998-02-01,12703.742,162.0,16.06,,,110.4,5.51,4.6,84.3066
1998-03-01,12703.742,162.0,15.115454545454547,,,106.5,5.49,4.7,84.342
1998-04-01,12821.339,162.2,15.353809523809524,,,108.7,5.45,4.3,84.6339
1998-05-01,12821.339,162.6,14.914000000000001,,,106.5,5.49,4.4,85.1867
1998-06-01,12821.339,162.8,13.72181818181818,,,105.6,5.56,4.5,84.6809
1998-07-01,12982.752,163.2,14.172727272727274,,,105.2,5.54,4.5,84.3445
1998-08-01,12982.752,163.4,13.47190476190476,,,104.4,5.55,4.5,86.0816
1998-09-01,12982.752,163.5,15.031428571428572,,,100.9,5.51,4.6,86.0023
1998-10-01,13191.67,163.9,14.460909090909091,,,97.4,5.07,4.5,86.591
1998-11-01,13191.67,164.1,13.002105263157894,,,102.7,4.83,4.4,86.5115
1998-12-01,13191.67,164.4,11.347272727272726,,,100.5,4.68,4.4,86.8615
1999-01-01,13315.597,164.7,12.514736842105263,,,103.9,4.63,4.3,87.2205
1999-02-01,13315.597,164.7,12.013684210526316,,,108.1,4.76,4.4,87.726
1999-03-01,13315.597,164.8,14.676521739130434,,,105.7,4.81,4.2,87.9125
1999-04-01,13426.748,165.9,17.312380952380952,,,104.6,4.74,4.3,88.1082
1999-05-01,13426.748,166.0,17.7185,,,106.8,4.74,4.2,88.6483
1999-06-01,13426.748,166.0,17.923181818181817,,,107.3,4.76,4.3,88.5903
1999-07-01,13604.771,166.7,20.103333333333335,,,106.0,4.99,4.3,89.1098
1999-08-01,13604.771,167.1,21.278636363636362,,,104.5,5.07,4.2,89.5007
1999-09-01,13604.771,167.8,23.796666666666667,,,107.2,5.22,4.2,89.1304
1999-10-01,13827.98,168.1,22.69142857142857,,,103.2,5.2,4.1,90.2709
1999-11-01,13827.98,168.4,25.00238095238095,,,107.2,5.42,4.1,90.7528
1999-12-01,13827.98,168.8,26.10238095238095,,,105.4,5.3,4.0,91.4784
2000-01-01,13878.147,169.3,27.259473684210523,,,112.0,5.45,4.0,91.4092
2000-02-01,13878.147,170.0,29.366000000000003,,,111.3,5.73,4.1,91.7245
2000-03-01,13878.147,171.0,29.84173913043478,,,107.1,5.85,4.0,92.083
2000-04-01,14130.908,170.9,25.722105263157896,,,109.2,6.02,3.8,92.6659
2000-05-01,14130.908,171.2,28.78818181818182,,,110.7,6.27,4.0,92.9347
2000-06-01,14130.908,172.2,31.82227272727273,,,106.4,6.53,4.0,93.0018
2000-07-01,14145.312,172.7,29.69684210526316,,,108.3,6.54,4.0,92.8373
2000-08-01,14145.312,172.7,31.26391304347826,,,107.3,6.5,4.1,92.591
2000-09-01,14145.312,173.6,33.884,,,106.8,6.52,3.9,92.9827
